nombre,organismo,tipo,estado,descripcion,monto_min,monto_max,moneda,fecha_apertura,fecha_cierre,url,region,score_hak,internacional,created_at
FNDR Social — Proyectos de Organizaciones Sociales,GORE La Araucanía / SUBDERE,comunitario,proximo,Fondo Nacional de Desarrollo Regional. Financia proyectos sociales de organizaciones de la sociedad civil.,5000000.0,100000000.0,CLP,,,https://www.google.com/search?q=%22FNDR%20Social%20%E2%80%94%20Proyectos%20de%20Organizaciones%20Sociales%22%20GORE%20La%20Araucan%C3%ADa%20/%20SUBDERE%20postulaci%C3%B3n%202026,La Araucanía,66,0,2026-04-12 15:39:55
Fundación Calouste Gulbenkian — Educación y Cultura,Fundación Gulbenkian (Portugal/Internacional),cultural,proximo,"Apoya proyectos de educación, ciencia y cultura en ALC. Especial interés en educación inclusiva e innovación social.",20000.0,200000.0,EUR,,,https://www.google.com/search?q=%22Fundaci%C3%B3n%20Calouste%20Gulbenkian%20%E2%80%94%20Educaci%C3%B3n%20y%20Cultura%22%20Fundaci%C3%B3n%20Gulbenkian%20%28Portugal/Internacional%29%20postulaci%C3%B3n%202026,,63,1,2026-04-12 15:39:55
SENADIS — Proyectos de Inclusión,SENADIS,comunitario,proximo,Servicio Nacional de la Discapacidad. Fondos para proyectos de inclusión y participación de personas con discapacidad.,2000000.0,20000000.0,CLP,,,https://www.senadis.gob.cl,,62,0,2026-04-12 15:39:55
FNDR 8% — Vinculación con la Comunidad,GORE La Araucanía,comunitario,proximo,"Fondo regional con 9 líneas: cultura, seguridad ciudadana, medioambiente, deporte, adulto mayor, proyectos sociales, infraestructura comunitaria, participación ciudadana. Para organizaciones sin fines de lucro.",1000000.0,50000000.0,CLP,,,https://fndr8.gorearaucania.cl/,La Araucanía,60,0,2026-04-12 16:28:27
BID Lab — Innovación para el Desarrollo,BID / IDB,mixto,abierto,"Laboratorio de innovación del Banco Interamericano. Fondos para innovación social, tecnología y emprendimiento en ALC.",50000.0,500000.0,USD,,,https://bidlab.org,,51,1,2026-04-22 04:45:45
FONDART Regional — Creación Artística,"Ministerio de las Culturas, Artes y el Patrimonio",cultural,proximo,"Fondo de apoyo a la creación artística regional. Líneas: creación, residencias, formación, circulación.",2000000.0,30000000.0,CLP,,,https://www.fondosdecultura.cl/convocatorias-abiertas/,,50,0,2026-04-12 15:39:55
FONDART Nacional — Creación Artística,"Ministerio de las Culturas, Artes y el Patrimonio",cultural,proximo,"Fondo nacional de apoyo a las artes. Múltiples disciplinas: artes visuales, música, teatro, danza, literaturas, audiovisual.",5000000.0,80000000.0,CLP,,,https://www.fondosdecultura.cl/convocatorias-abiertas/,,50,0,2026-04-12 15:39:55
Fondo del Libro y la Lectura,"Ministerio de las Culturas, Artes y el Patrimonio",cultural,proximo,"Apoyo a la creación literaria, edición, distribución y fomento lector.",2000000.0,40000000.0,CLP,,,https://www.fondosdecultura.cl/convocatorias-abiertas/,,50,0,2026-04-12 15:39:55
Fondo del Patrimonio Cultural,"Ministerio de las Culturas, Artes y el Patrimonio",cultural,proximo,"Conservación, difusión y puesta en valor del patrimonio cultural material e inmaterial.",5000000.0,50000000.0,CLP,,,https://www.fondosdecultura.cl/convocatorias-abiertas/,,50,0,2026-04-12 15:39:55
Fondo Audiovisual,"Ministerio de las Culturas, Artes y el Patrimonio",cultural,proximo,"Fomento al desarrollo, producción y distribución de obras audiovisuales chilenas.",5000000.0,100000000.0,CLP,,,https://www.fondosdecultura.cl/convocatorias-abiertas/,,50,0,2026-04-12 15:39:55
FONDART Nacional — Creación Artística,"Ministerio de las Culturas, Artes y el Patrimonio",cultural,desconocido,"Fondo nacional de apoyo a las artes: artes visuales, música, teatro, danza, literaturas, audiovisual, arte urbano.",5000000.0,80000000.0,CLP,,,https://www.fondos.gob.cl/ficha/mincap/fondart-nacional/,,50,0,2026-04-12 16:02:18
Fondo del Libro y la Lectura: Premios Literarios 2026,"Ministerio de las Culturas, Artes y el Patrimonio",cultural,abierto,"Fomento a la creación literaria. Premios para obras inéditas en prosa, poesía y otras categorías.",350000.0,8660000.0,CLP,,17-04-2026,https://www.fondos.gob.cl/ficha/mincap/premiosliterarios-2026/,,50,0,2026-04-12 16:02:18
Fondo del Patrimonio Cultural (FPC),"Ministerio de las Culturas, Artes y el Patrimonio",cultural,desconocido,"Conservación, investigación y difusión del patrimonio cultural material e inmaterial de Chile.",5000000.0,50000000.0,CLP,,,https://www.fondos.gob.cl/ficha/mincap/patrimoniocultural/,,50,0,2026-04-12 16:02:18
Fondo Audiovisual,"Ministerio de las Culturas, Artes y el Patrimonio",cultural,desconocido,"Fomento al desarrollo, producción y distribución de obras audiovisuales chilenas. Incluye documentales, ficción, animación.",5000000.0,100000000.0,CLP,,,https://www.fondos.gob.cl/ficha/mincap/fondoaudiovisual/,,50,0,2026-04-12 16:02:18
Fondo de las Artes Escénicas — Asistencia Internacional,"Ministerio de las Culturas, Artes y el Patrimonio",cultural,abierto,Apoyo para artistas escénicos chilenos que participan en instancias internacionales.,500000.0,5000000.0,CLP,,29-04-2026,https://www.fondos.gob.cl/ficha/mincap/fae_asistencias_internacionales/,,50,0,2026-04-12 16:02:18
PMI — Mejoramiento Integral Bibliotecas Públicas,"Ministerio de las Culturas, Artes y el Patrimonio",cultural,abierto,Programa de mejoramiento para bibliotecas públicas municipales. Fondo de hasta $300M.,10000000.0,300000000.0,CLP,,12-04-2026,https://www.fondos.gob.cl/ficha/mincap/snpc-bibliotecas-publicas/,,50,0,2026-04-12 16:02:18
FNDR 8% Social — Arica y Parinacota,GORE Arica y Parinacota,comunitario,proximo,"Fondo Nacional de Desarrollo Regional (8% social) Región XV. Financia proyectos de organizaciones sin fines de lucro. Líneas habituales: educación, cultura, deporte, medioambiente, social, infraestructura comunitaria, adulto mayor, seguridad ciudadana. Cada GORE define sus líneas anuales.",500000.0,50000000.0,CLP,,,https://www.google.com/search?q=FNDR+8%25+Arica+y+Parinacota+concurso+2026+postulaci%C3%B3n+site%3Agorearica.cl,Arica y Parinacota,50,0,2026-04-12 16:39:35
FNDR 8% Social — Tarapacá,GORE Tarapacá,comunitario,proximo,"Fondo Nacional de Desarrollo Regional (8% social) Región I. Financia proyectos de organizaciones sin fines de lucro. Líneas habituales: educación, cultura, deporte, medioambiente, social, infraestructura comunitaria, adulto mayor, seguridad ciudadana. Cada GORE define sus líneas anuales.",500000.0,50000000.0,CLP,,,https://www.google.com/search?q=FNDR+8%25+Tarapac%C3%A1+concurso+2026+postulaci%C3%B3n+site%3Agoretarapaca.gov.cl,Tarapacá,50,0,2026-04-12 16:39:35
FNDR 8% Social — Antofagasta,GORE Antofagasta,comunitario,proximo,"Fondo Nacional de Desarrollo Regional (8% social) Región II. Financia proyectos de organizaciones sin fines de lucro. Líneas habituales: educación, cultura, deporte, medioambiente, social, infraestructura comunitaria, adulto mayor, seguridad ciudadana. Cada GORE define sus líneas anuales.",500000.0,50000000.0,CLP,,,https://www.google.com/search?q=FNDR+8%25+Antofagasta+concurso+2026+postulaci%C3%B3n+site%3Agoreantofagasta.cl,Antofagasta,50,0,2026-04-12 16:39:35
FNDR 8% Social — Atacama,GORE Atacama,comunitario,proximo,"Fondo Nacional de Desarrollo Regional (8% social) Región III. Financia proyectos de organizaciones sin fines de lucro. Líneas habituales: educación, cultura, deporte, medioambiente, social, infraestructura comunitaria, adulto mayor, seguridad ciudadana. Cada GORE define sus líneas anuales.",500000.0,50000000.0,CLP,,,https://www.google.com/search?q=FNDR+8%25+Atacama+concurso+2026+postulaci%C3%B3n+site%3Agoreatacama.cl,Atacama,50,0,2026-04-12 16:39:35
FNDR 8% Social — Coquimbo,GORE Coquimbo,comunitario,proximo,"Fondo Nacional de Desarrollo Regional (8% social) Región IV. Financia proyectos de organizaciones sin fines de lucro. Líneas habituales: educación, cultura, deporte, medioambiente, social, infraestructura comunitaria, adulto mayor, seguridad ciudadana. Cada GORE define sus líneas anuales.",500000.0,50000000.0,CLP,,,https://www.google.com/search?q=FNDR+8%25+Coquimbo+concurso+2026+postulaci%C3%B3n+site%3Agorecoquimbo.cl,Coquimbo,50,0,2026-04-12 16:39:35
FNDR 8% Social — Valparaíso,GORE Valparaíso,comunitario,proximo,"Fondo Nacional de Desarrollo Regional (8% social) Región V. Financia proyectos de organizaciones sin fines de lucro. Líneas habituales: educación, cultura, deporte, medioambiente, social, infraestructura comunitaria, adulto mayor, seguridad ciudadana. Cada GORE define sus líneas anuales.",500000.0,50000000.0,CLP,,,https://www.google.com/search?q=FNDR+8%25+Valpara%C3%ADso+concurso+2026+postulaci%C3%B3n+site%3Agorevalparaiso.cl,Valparaíso,50,0,2026-04-12 16:39:35
FNDR 8% Social — Metropolitana,GORE Metropolitana,comunitario,proximo,"Fondo Nacional de Desarrollo Regional (8% social) Región RM. Financia proyectos de organizaciones sin fines de lucro. Líneas habituales: educación, cultura, deporte, medioambiente, social, infraestructura comunitaria, adulto mayor, seguridad ciudadana. Cada GORE define sus líneas anuales.",500000.0,50000000.0,CLP,,,https://www.google.com/search?q=FNDR+8%25+Metropolitana+concurso+2026+postulaci%C3%B3n+site%3Agorerm.cl,Metropolitana,50,0,2026-04-12 16:39:35
FNDR 8% Social — O'Higgins,GORE O'Higgins,comunitario,proximo,"Fondo Nacional de Desarrollo Regional (8% social) Región VI. Financia proyectos de organizaciones sin fines de lucro. Líneas habituales: educación, cultura, deporte, medioambiente, social, infraestructura comunitaria, adulto mayor, seguridad ciudadana. Cada GORE define sus líneas anuales.",500000.0,50000000.0,CLP,,,https://www.google.com/search?q=FNDR+8%25+O%27Higgins+concurso+2026+postulaci%C3%B3n+site%3Agoreohiggins.cl,O'Higgins,50,0,2026-04-12 16:39:35
FNDR 8% Social — Maule,GORE Maule,comunitario,proximo,"Fondo Nacional de Desarrollo Regional (8% social) Región VII. Financia proyectos de organizaciones sin fines de lucro. Líneas habituales: educación, cultura, deporte, medioambiente, social, infraestructura comunitaria, adulto mayor, seguridad ciudadana. Cada GORE define sus líneas anuales.",500000.0,50000000.0,CLP,,,https://www.google.com/search?q=FNDR+8%25+Maule+concurso+2026+postulaci%C3%B3n+site%3Agoremaule.cl,Maule,50,0,2026-04-12 16:39:35
FNDR 8% Social — Biobío,GORE Biobío,comunitario,proximo,"Fondo Nacional de Desarrollo Regional (8% social) Región VIII. Financia proyectos de organizaciones sin fines de lucro. Líneas habituales: educación, cultura, deporte, medioambiente, social, infraestructura comunitaria, adulto mayor, seguridad ciudadana. Cada GORE define sus líneas anuales.",500000.0,50000000.0,CLP,,,https://www.google.com/search?q=FNDR+8%25+Biob%C3%ADo+concurso+2026+postulaci%C3%B3n+site%3Agorebiobio.cl,Biobío,50,0,2026-04-12 16:39:35
